Jewelry_Type,Material_Composition,Manufacturing_Stage,Surface_Roughness,Polish_Quality,Engraving_Depth,Structural_Integrity,Reflection_Index,Defect_Type
Earring,Pure Silver,Raw Casting,0.6650937441577706,0.8922182126066751,0.7452654954754127,0.3033449831575357,0.21780315679015122,Normal
Ring,Pure Silver,Raw Casting,0.5031121414796458,0.6447776463279934,0.3932760106558366,0.5198203755967059,0.9117242662426063,Normal
Earring,Silver Alloy,Final Product,0.178000634552828,0.129547701730933,0.9064032369471138,0.5944631529040715,0.7469463429700242,Normal
Bracelet,Pure Silver,Raw Casting,0.19441716389947833,0.1086836134160399,0.9464746822633795,0.19948165393522582,0.31825826923111833,Crack
Earring,Silver Alloy,Final Product,0.8549520494294257,0.8704290159904536,0.6303261439507869,0.914516369169467,0.5983939708987105,Scratch
Ring,Silver Alloy,Final Product,0.6051452936766862,0.9659384525899217,0.104524067288682,0.5698384259680356,0.49144937834654,Normal
Earring,Pure Silver,Polished,0.42160798719141224,0.42040151129952397,0.7842088682456522,0.5263933540293704,0.9778897269074718,Normal
Pendant,Pure Silver,Final Product,0.167893341689185,0.8232789239484529,0.21084994039923927,0.4241788695371177,0.3331531862454451,Normal
Pendant,Pure Silver,Polished,0.7547215260480278,0.45685294499986795,0.20491365962008712,0.12624644516136466,0.9384485080255174,Crack
Pendant,Pure Silver,Polished,0.86231587196384,0.3017524551075653,0.35050370777893414,0.30862082418523884,0.22002076328608525,Scratch
Earring,Silver Alloy,Final Product,0.8709135278524941,0.3164381490357425,0.7661127949189676,0.5655272090885571,0.7271915349524498,Scratch
Earring,Pure Silver,Polished,0.5971538079416981,0.7723152298357614,0.8316681177494828,0.6593293464812687,0.755820165343259,Normal
Ring,Silver Alloy,Polished,0.9088319766028667,0.14259088902675876,0.39916276095280734,0.743505651903771,0.6445578647604728,Scratch
Necklace,Silver Alloy,Final Product,0.13330064983553022,0.5568399107736002,0.7311859830168279,0.880736203357001,0.7117745524709931,Normal
Earring,Pure Silver,Polished,0.9350846703511376,0.47827111904361097,0.9559006599366292,0.5014529705877736,0.2292089595272878,Scratch
Necklace,Silver Alloy,Final Product,0.20895497539584557,0.6794799144910387,0.9608156774475596,0.1793765679462132,0.6709499204343427,Crack
Pendant,Pure Silver,Raw Casting,0.806218084511599,0.6003584021067504,0.354478008468855,0.6616591541353168,0.7892113676638941,Scratch
Ring,Pure Silver,Final Product,0.1607258731474436,0.5263071423708556,0.41129895546919903,0.37700490131585773,0.3341049720901679,Normal
Pendant,Pure Silver,Raw Casting,0.5760874224863021,0.47940620387211474,0.9601792988073378,0.17749683101795377,0.405759064433023,Crack
Necklace,Pure Silver,Raw Casting,0.43160898398894454,0.7958853362469788,0.2390057980860913,0.5304309513012954,0.25546526072320613,Normal
Bracelet,Silver Alloy,Raw Casting,0.5484656280290111,0.850131694843787,0.11122429295540433,0.6312100058579616,0.5588981170524058,Normal
Necklace,Pure Silver,Polished,0.9755909759167195,0.12360824463976613,0.163056745600083,0.1473893134032122,0.8113649198687501,Scratch
Bracelet,Silver Alloy,Final Product,0.5280769821462357,0.7624406840599672,0.7673579878549656,0.6795765435909883,0.9139047471318757,Normal
Necklace,Pure Silver,Final Product,0.847997447790907,0.32182195238469957,0.3344764923893873,0.3305968858321952,0.8255223676646035,Scratch
Necklace,Silver Alloy,Raw Casting,0.41659860584499353,0.780200133623256,0.887596420246713,0.7317962619961091,0.6620906241071569,Normal
Ring,Pure Silver,Polished,0.7167876384964806,0.28419079044907025,0.3569924923740173,0.9571718430260634,0.6601746123750091,Normal
Ring,Pure Silver,Raw Casting,0.19606297943207837,0.25538754686134424,0.6170101416045444,0.5983444280883746,0.6958730505108883,Normal
Earring,Silver Alloy,Polished,0.7351209369533742,0.632721222866458,0.3518299448922785,0.667683563575884,0.1487191714536853,Normal
Pendant,Silver Alloy,Raw Casting,0.32820506947276856,0.8763321485174955,0.2668017984983041,0.5850637469431141,0.4504401201201276,Normal
Bracelet,Pure Silver,Final Product,0.25565558783096326,0.18174845637743364,0.929912733085779,0.23427479480497582,0.24769790750750512,Crack
Pendant,Silver Alloy,Raw Casting,0.6704330826921432,0.9950631706193609,0.10569878922975522,0.9314868411118485,0.4890937125994591,Normal
Necklace,Silver Alloy,Polished,0.3960586440979703,0.3053352978762536,0.6518411667732981,0.26308961465965247,0.480398582817785,Crack
Earring,Pure Silver,Polished,0.359998374955393,0.6436564752061071,0.16992858104642986,0.9800245147483915,0.6460534870817999,Normal
Bracelet,Silver Alloy,Final Product,0.8120931405295868,0.12361312004966574,0.1835249256490812,0.42185799434626603,0.8147827855562877,Scratch
Ring,Pure Silver,Raw Casting,0.40413848630432203,0.10064409368850619,0.98590197553946,0.1544896009290057,0.33742012931509924,Crack
Pendant,Silver Alloy,Final Product,0.6440225937181558,0.8770250863036224,0.3677809942595037,0.8714843961024297,0.5275846357858394,Normal
Earring,Silver Alloy,Raw Casting,0.7080850375013955,0.6634625791966833,0.7555077942126553,0.8580558189987776,0.2668920029215728,Normal
Ring,Pure Silver,Raw Casting,0.34444943441516784,0.35509406145529676,0.5630675775909744,0.8815894849591561,0.5727235390742583,Normal
