Jewelry_Type,Material_Composition,Manufacturing_Stage,Surface_Roughness,Polish_Quality,Engraving_Depth,Structural_Integrity,Reflection_Index,Defect_Type
Ring,Pure Silver,Raw Casting,0.9264227331063786,0.16777576068852762,0.7525853115648773,0.4659177626585893,0.922014795320234,Scratch
Necklace,Pure Silver,Final Product,0.38745028032982387,0.36283797297355236,0.3037651748802379,0.44173212055050903,0.30896906940184865,Normal
Necklace,Pure Silver,Raw Casting,0.6848910815913827,0.7841308601527704,0.6036864473892848,0.19581426151465584,0.9313717397237636,Crack
Earring,Pure Silver,Raw Casting,0.6427438134521314,0.5084918127075542,0.9198952143265494,0.5940603281242652,0.5106914052871306,Normal
Bracelet,Silver Alloy,Final Product,0.80441304342564,0.33201917346306487,0.45682483083963177,0.355277567953984,0.5911840261135942,Scratch
Earring,Silver Alloy,Raw Casting,0.2824105958810032,0.7004646314465386,0.4749202655517881,0.9831364047600367,0.32870834281180705,Normal
Pendant,Silver Alloy,Raw Casting,0.181964172876997,0.1354498590962101,0.8140480169000238,0.45072150931089594,0.3580388954202929,Normal
Ring,Pure Silver,Raw Casting,0.6271792235040229,0.12869859738208037,0.5363313833408984,0.23398804086242114,0.9364854490064117,Crack
Bracelet,Silver Alloy,Raw Casting,0.5418936474810767,0.9746107328975123,0.7682833566746015,0.3520380992373171,0.770208644034467,Normal
Bracelet,Silver Alloy,Final Product,0.43877314331296136,0.30704081360372276,0.8587956156825716,0.21893363784310033,0.8248559332227742,Crack
Pendant,Silver Alloy,Final Product,0.3932139353290711,0.32530517356515387,0.4010126486925264,0.880039118714188,0.175522405864947,Normal
Necklace,Silver Alloy,Raw Casting,0.47061299255279987,0.8482776540142024,0.4309535003885685,0.7559237387919356,0.5491855135426836,Normal
Necklace,Silver Alloy,Raw Casting,0.9585348258778331,0.8379378103828796,0.9446394665577731,0.8206928347667272,0.9815715082914773,Scratch
Ring,Pure Silver,Raw Casting,0.7801419865897689,0.21767398805448096,0.4744942012173362,0.21061459270324562,0.5398901925893022,Crack
Ring,Silver Alloy,Polished,0.4650456431573383,0.6580372042308386,0.3884723017677969,0.2881048545812884,0.8625926487549914,Crack
Pendant,Silver Alloy,Final Product,0.7783583845925667,0.39536274694833806,0.6637327570737948,0.3031814883000927,0.7194721912110478,Normal
Earring,Pure Silver,Final Product,0.33000414247435045,0.12676949998135364,0.7756677459353,0.4015116611088615,0.14265509381497346,Normal
Bracelet,Silver Alloy,Polished,0.9861265430300512,0.6762278431238028,0.6000276833947958,0.7297548425258191,0.739184639703588,Scratch
Necklace,Pure Silver,Raw Casting,0.2825255576716565,0.8644234157390867,0.8067648182335269,0.42715168080079824,0.37210701427022375,Normal
Earring,Pure Silver,Raw Casting,0.24892427327061495,0.34894652601304993,0.691600924648866,0.1950911141081671,0.669973853632287,Crack
Ring,Pure Silver,Raw Casting,0.5056175706617008,0.8041885399410326,0.2491179500250642,0.9845303639254698,0.3466766060005775,Normal
Earring,Silver Alloy,Raw Casting,0.8448296720954054,0.7524912964657007,0.29933420526984444,0.7906841452876958,0.8325847644638459,Scratch
Pendant,Pure Silver,Raw Casting,0.15579411133460855,0.7407981940747134,0.4869228107023973,0.9483174875594244,0.3943256107788641,Normal
Necklace,Pure Silver,Raw Casting,0.5173755059664726,0.37899107860320036,0.6235544025110511,0.9058729634058461,0.15189728041893824,Normal
Pendant,Silver Alloy,Final Product,0.6286863852841074,0.7446475170206062,0.25541354650268777,0.12386325894157524,0.5851789704074525,Crack
Pendant,Silver Alloy,Final Product,0.25186637409578905,0.8452172553975462,0.3446379934609537,0.4329664656758655,0.8654746515318357,Normal
Earring,Silver Alloy,Final Product,0.212894541139851,0.6245370992151883,0.6629835606125238,0.7452365718803349,0.6302284115321954,Normal
Earring,Pure Silver,Final Product,0.30336006819779354,0.6103179514778654,0.6097356044589043,0.32438334241172745,0.8481313862408134,Normal
Pendant,Silver Alloy,Final Product,0.7097139948300725,0.9664426209524656,0.677217797999385,0.7388506056777537,0.5086315276942072,Normal
Bracelet,Pure Silver,Final Product,0.6467342113370913,0.7568162063319542,0.18499320123206586,0.16276325480343976,0.12290179141570662,Crack
Necklace,Silver Alloy,Final Product,0.6767899062817823,0.9522460855325534,0.12260157356387238,0.11387641636249057,0.4311948650675165,Crack
Pendant,Silver Alloy,Raw Casting,0.732388834806673,0.6161716621197787,0.8986870393870421,0.614902428512986,0.2552787973011099,Normal
Ring,Pure Silver,Raw Casting,0.8771668433821551,0.15498825069030045,0.7430216766542153,0.7584517152327293,0.2491339073704057,Scratch
Ring,Silver Alloy,Raw Casting,0.6111752929013324,0.2907360566122991,0.6150311255529146,0.7857996015551435,0.8671249672775725,Normal
Ring,Pure Silver,Polished,0.34292436523911807,0.8372971800610789,0.2756286551953444,0.8588916620618041,0.9278870815430433,Normal
Pendant,Silver Alloy,Raw Casting,0.6641197727275405,0.30007016206780934,0.591116827747006,0.3955968234130275,0.8859443046736182,Normal
Pendant,Pure Silver,Raw Casting,0.39195178579725365,0.19927266079991368,0.23309074110076178,0.9114833696035219,0.8509311244427112,Normal
Ring,Silver Alloy,Polished,0.6259079882121759,0.4908108342718709,0.1891392964087223,0.5221764492422551,0.802593218742825,Normal
Earring,Silver Alloy,Raw Casting,0.8518854479895688,0.8716511663545244,0.8828030223301983,0.9866968080983433,0.2370821954239344,Scratch
Pendant,Pure Silver,Raw Casting,0.1794850035074157,0.6445780579188083,0.40252012926994074,0.7075215196994502,0.9937825629729812,Normal
Necklace,Pure Silver,Raw Casting,0.32682010609580425,0.3754248795373848,0.5231310072945,0.21742769797195932,0.8257747611002204,Crack
Bracelet,Silver Alloy,Raw Casting,0.4557512074150908,0.6558998181335534,0.7006234759002791,0.6728965326700459,0.6458536173369128,Normal
Pendant,Silver Alloy,Polished,0.5402844151172441,0.3745792989791875,0.14427403278357753,0.42241374521093633,0.9036049731748507,Normal
Ring,Silver Alloy,Final Product,0.43737360623644483,0.5310146960986051,0.4712627764720284,0.9148657072492019,0.15524312970927742,Normal
Ring,Pure Silver,Final Product,0.855289871919504,0.26766404354633555,0.2178094847989258,0.29139429764177527,0.5330586698379638,Scratch
Bracelet,Silver Alloy,Raw Casting,0.20669757808824185,0.1640384682175422,0.17522012297828743,0.3928783195866936,0.6982575309360868,Normal
Bracelet,Pure Silver,Raw Casting,0.4343415614990188,0.15495863510320868,0.5216611333453501,0.36659043406424674,0.25645987708284157,Normal
Ring,Pure Silver,Polished,0.5051823011048963,0.8625607448274922,0.28312407249491184,0.26304937119189925,0.18854537979346064,Crack
Ring,Pure Silver,Final Product,0.3348071658120695,0.5329963345513196,0.9634457663258653,0.11949676929397096,0.6834340560278263,Crack
Necklace,Silver Alloy,Final Product,0.5540996660472658,0.5644072890816793,0.6961607364092157,0.5753521039669797,0.4248499823152062,Normal
Earring,Pure Silver,Raw Casting,0.9079690750935397,0.17327759192447817,0.8114001098618495,0.4229900271286797,0.7720639717122805,Scratch
Pendant,Pure Silver,Polished,0.7465042691220193,0.7716398666196751,0.6685469564439086,0.8252526369089955,0.363437747229691,Normal
Pendant,Silver Alloy,Raw Casting,0.13039049279687437,0.15196956893473737,0.3767705477670673,0.6380878501436179,0.9681641189888736,Normal
Pendant,Silver Alloy,Raw Casting,0.16693814346164942,0.26787383965504447,0.8053576931145136,0.7302743072796309,0.5943507615628539,Normal
